"","year","longitude","latitude","bottom_depth","peak_timing","SSTcumanom45","spring_ice_fraction","ice_retreat_timing","bloom_type","bsregion"
"85",1998,-172.501342403828,57.7035999703597,-110.038299727109,141,-63.2105930555556,0.127497513717421,57,"ice_free","8"
"86",1998,-171.646337612159,57.7273442489802,-88.1589052899987,141,-30.1918208333333,0.30430725308642,60,"ice_free","6"
"87",1998,-170.633521396818,57.7371260496843,-72.3905626632055,165,-21.9346194444444,0.443261369825708,64,"ice_free","6"
"88",1998,-169.334427267788,57.6850394373226,-69.8531472149641,157,-27.5050291666667,0.512098824786325,69,"ice_free","6"
"89",1998,-168.775642734667,57.6115206835674,-75.247203765227,157,-9.38655277777778,0.626231944444444,70,"ice_free","6"
"91",1998,-166.444909476097,57.7432661956539,-61.5175826558266,165,-23.4869152777778,0.723596064814815,70,"ice_free","3"
"92",1998,-165.298120821624,57.7691436033623,-60.5094537815126,165,-13.5796888888889,0.733660137701804,69,"ice_free","3"
"93",1998,-164.599204342236,57.7541023656234,-48.7634977211223,165,-11.8727013888889,0.731695987654321,69,"ice_free","2"
"94",1998,-163.361384695706,57.7533748392864,-49.950350085859,149,-19.7000805555556,0.685139010721247,68,"ice_free","2"
"95",1998,-162.425110594774,57.8225997042912,-46.031400549384,117,-24.8149680555556,0.496733346193416,66,"ice_free","2"
"96",1998,-161.488986950292,57.780397104912,-37.7958788124955,133,-14.8302319444444,0.285822848583878,64,"ice_free","2"
"97",1998,-160.537473981419,57.7309460769397,-47.524293815117,117,-17.3842194444444,0.333477477477477,67,"ice_free","3"
