Vial_ID,Cruise,Vessel,Haul,Sex,CW ,CH_CC,Crab_Wgt ,HepatoTray_WT,Hepato_WWT,Hepato_DWT,MuscleTray_WT,Muscle_WWT,Muscle_DWT,Process_Date,Notes
2019-189,201901,94,127,1,82.24,11.11,201.9,1.2968,3.3614,1.4553,1.2699,1.9625,1.3599,5/19/2021,R3
2019-19,201901,94,159,1,82.32,13.07,209.8,1.2898,2.2791,1.5619,1.2655,2.3789,1.4588,3/19/2021,
2019-190,201901,94,127,1,94.11,14.06,291.8,1.2829,2.0592,1.4269,1.2779,2.048,1.3808,5/19/2021,R3
2019-191,201901,94,127,1,85.44,13.76,214.4,1.2863,2.267,1.4959,1.2798,1.9018,1.3716,5/19/2021,R3
2019-192,201901,94,127,1,83.95,12.91,213.2,1.2708,1.9377,1.3848,1.2752,2.1724,1.3932,5/19/2021,R3
2019-193,201901,94,120,1,84.88,12.43,216.9,1.2874,1.8416,1.3589,1.2774,1.9505,1.3519,5/21/2021,R2
2019-194,201901,94,120,1,87.76,12.5,237.8,1.2816,1.9558,1.3893,1.2827,1.8849,1.3726,5/21/2021,R2
2019-195,201901,94,120,1,93.1,14.07,297.4,1.2899,2.1956,1.4287,1.3008,1.8738,1.37011,5/21/2021,R2
2019-196,201901,94,120,1,86.29,13.78,222,1.2713,1.9492,1.3813,1.2791,2.1808,1.3865,5/21/2021,R2
2019-197,201901,94,123,1,85.52,13.79,219,1.2617,1.9306,1.3537,1.2942,1.8745,1.3842,5/21/2021,R3
2019-198,201901,94,123,1,82.5,13.05,212.1,1.2641,2.2852,1.4128,1.286,2.3114,1.4606,5/21/2021,R3
2019-199,201901,94,123,1,85.05,12.63,167.5,1.2764,1.9812,1.3875,1.2756,1.7519,1.3438,5/21/2021,R3
2019-2,201902,162,1,1,78.57,11.38,170.6,1.2871,1.9725,1.438,1.2912,2.3272,1.4545,3/16/2021,
2019-20,201901,94,159,1,82.18,12.92,202.3,1.2765,2.2026,1.3674,1.278,4.1036,1.6079,3/19/2021,
2019-200,201901,94,123,1,97.48,13.63,266.4,1.2742,2.0966,1.4671,1.2684,2.1208,1.4126,5/21/2021,R3
2019-201,201901,94,123,1,91.61,13.85,271.6,1.284,2.4402,1.3563,1.2881,2.2768,1.4035,5/21/2021,R3
2019-202,201901,94,132,1,83.1,13.84,179.4,1.2944,1.9774,1.3789,1.2976,1.7911,1.3677,5/24/2021,R4
2019-203,201901,94,98,1,81.68,12.43,184.5,1.2759,2.2493,1.4618,1.2862,1.9749,1.41,5/24/2021,R2
2019-204,201901,94,98,1,84.5,13.54,214.7,1.2751,1.9664,1.3747,1.271,1.8197,1.3588,5/24/2021,R2
2019-205,201901,94,98,1,84.12,12.94,215.4,1.2696,2.6039,1.5627,1.2868,2.003,1.4068,5/24/2021,R2
2019-206,201901,94,98,1,92.71,14.74,279.4,1.2903,2.6706,1.4954,1.2635,2.88,1.3712,5/24/2021,R2
2019-207,201901,94,98,1,85.68,14.16,224.9,1.2734,2.3421,1.7729,1.2729,1.8536,1.3473,5/24/2021,R2
2019-208,201901,94,121,1,87.46,13.24,277.6,1.2654,2.1498,1.3765,1.2775,2.0289,1.383,5/24/2021,R2
2019-209,201901,94,121,1,91.81,15.44,289.8,1.2627,2.4697,1.415,1.2636,2.5719,1.4517,5/24/2021,R2
2019-21,201901,94,159,1,80.68,13.36,184.8,1.2635,2.2876,1.3691,1.2536,2.3319,1.3935,3/22/2021,
2019-210,201901,94,121,1,84.23,12.94,217.8,1.2692,2.3268,1.4051,1.2877,2.2202,1.4375,5/24/2021,R2
2019-211,201901,94,121,1,88.26,14,243.5,1.283,1.9573,1.4749,1.2864,2.3063,1.4091,5/24/2021,R2
2019-212,201901,94,121,1,90.62,13.83,267.7,1.209,3.3381,2.4071,2.222,3.0891,2.3463,5/24/2021,R2
2019-213,201901,94,119,1,90.67,14.5,269.6,1.2506,2.4125,1.4642,1.2515,2.3977,1.4388,5/25/2021,R2
2019-214,201901,94,119,1,84.33,11.97,180.6,1.2922,2.4625,1.5936,1.2895,2.2924,1.4403,5/25/2021,R2
2019-215,201901,94,119,1,82.83,12.25,191.1,1.267,2.1779,1.4957,1.2817,2.2516,1.442,5/25/2021,R2
2019-216,201901,94,119,1,84.02,11.85,197.7,1.2481,2.2848,1.479,1.2546,2.225,1.4088,5/25/2021,R2
2019-217,201901,94,122,1,95.86,14.05,235.8,1.2834,2.2187,1.5098,1.2522,2.3739,1.4208,5/25/2021,R2
2019-218,201901,94,122,1,90.82,14.98,264,1.2588,2.8123,1.4812,1.2551,2.6399,1.4272,5/25/2021,R3
2019-219,201901,94,122,1,81.06,12.38,202.1,1.2665,3.2858,1.4629,1.2818,2.1361,1.3944,5/25/2021,R3
2019-22,201901,94,159,1,86.37,13.97,230.1,1.2849,2.8749,1.4234,1.287,2.803,1.4984,3/22/2021,
2019-220,201901,94,122,1,79.86,12.48,185.4,1.2624,3.2579,1.4526,1.2804,2.2454,1.3971,5/25/2021,R3
2019-221,201901,94,122,1,91.25,13.94,282,1.2459,2.3675,1.3791,1.2526,2.679,1.4813,5/25/2021,R3
2019-222,201901,94,97,1,85.82,12.84,194.8,1.2705,2.5956,1.3326,1.2727,1.9756,1.3569,6/1/2021,R3
2019-223,201901,94,97,1,80.4,12.75,184,1.2615,3.9204,1.4087,1.2548,2.3202,1.423,6/1/2021,R3
2019-224,201901,94,97,1,89.42,13.99,252.6,1.2668,2.0723,1.3928,1.2561,2.7076,1.4438,6/1/2021,R3
2019-225,201901,94,97,1,82.47,12.43,149.7,1.2574,2.1259,1.4178,1.2616,2.1626,1.3583,6/1/2021,R3
2019-226,201901,162,162,1,83.01,13.02,197.7,1.2631,2.4252,1.4414,1.2624,2.444,1.4245,6/1/2021,
2019-227,201901,162,60,1,92.4,12.98,325.8,1.2667,3.1328,1.6525,1.2678,2.656,1.5636,6/1/2021,
2019-228,201901,162,127,1,84.9,14.29,250.8,1.2645,2.5206,1.4878,1.2732,2.6772,1.4865,6/1/2021,
2019-229,201901,162,114,1,84.81,13.2,218,1.2767,3.2525,1.5773,1.2661,2.1282,1.4008,6/1/2021,
2019-23,201901,94,159,1,85.96,14.03,235.4,1.2932,2.2376,1.3822,1.2837,2.4188,1.4621,3/22/2021,
2019-230,201901,162,127,1,96.31,15.59,331.1,1.2607,2.8734,1.5727,1.273,2.9829,1.5279,6/1/2021,
2019-231,201901,162,127,1,85.12,14.8,235.5,1.2678,2.5391,1.4651,1.2638,2.2104,1.4027,6/1/2021,
2019-232,201901,162,127,1,87.07,13.04,250.7,1.2696,3.1732,1.4803,1.2765,2.2978,1.428,6/1/2021,
2019-24,201901,94,158,1,80.18,12.79,184.2,1.2842,2.4639,1.4057,1.24732,2.3996,1.3948,3/22/2021,
2019-25,201902,94,1,1,70.77,10.17,126.9,1.2924,2.3153,1.534,1.2855,2.3205,1.4389,3/22/2021,
2019-26,201901,94,158,1,80.78,11.47,185.8,1.289,2.6467,1.3912,1.2764,2.3381,1.443,3/22/2021,
2019-3,201902,162,1,1,75.87,11.99,151.8,1.2915,1.9982,1.4661,1.2822,2.0242,1.387,3/16/2021,
2019-4,201902,162,1,1,78.97,12.31,189.2,1.2756,2.039,1.4453,1.2866,2.3218,1.4458,3/17/2021,
2019-41,201902,94,1,1,75.41,11.19,175,1.2854,2.099,1.5112,1.2822,2.139,1.4121,3/26/2021,
