Vial_ID,Cruise,Vessel,Haul,Sex,CW ,CH_CC,Crab_Wgt ,HepatoTray_WT,Hepato_WWT,Hepato_DWT,MuscleTray_WT,Muscle_WWT,Muscle_DWT,Process_Date,Notes
2019-67,201901,162,178,2,78.89,0,141.2,1.2762,2.9093,1.5907,1.2717,2.4099,1.4863,4/12/2021,very large female and not in the database-possibly tanner?
2019-68,201901,162,178,2,75.07,0,127.1,1.2769,2.068,1.4802,1.2937,2.1881,1.4516,4/12/2021,very large female and not in the database-possibly tanner?
2019-69,201902,162,1,2,53.76,0,49.4,1.2769,2.0826,1.479,1.2839,1.9749,1.3884,4/12/2021,
2019-71,201901,162,180,2,72.8,0,114.7,1.2769,2.0792,1.5199,1.285,1.9727,1.4287,4/12/2021,possibly mature female-pull from dataset
2019-72,201902,162,1,2,56.01,0,55.1,1.2988,1.9548,1.4407,1.2853,1.839,1.3707,4/12/2021,
2019-73,201902,162,1,2,54.33,0,49.3,1.2589,1.8265,1.3972,1.2745,1.7837,1.3662,4/16/2021,R12
2019-74,201902,162,1,2,57.59,0,51.8,1.2597,1.9301,1.4617,1.2812,1.8683,1.3737,4/16/2021,R12
2019-75,201902,162,17,2,44.07,0,30.5,1.2856,1.8428,1.4402,1.289,1.7468,1.3768,4/16/2021,R12
2019-76,201902,162,17,2,43.64,0,26.2,1.2658,1.8095,1.3945,1.2658,1.6734,1.345,4/16/2021,R12
2019-77,201902,162,17,2,43.2,0,24,1.267,1.908,1.4279,1.2805,1.6722,1.3559,4/16/2021,R12
2019-78,201902,162,19,2,57.31,0,63.6,1.2561,2.0487,1.4612,1.2595,1.8935,1.3755,4/19/2021,R9
2019-79,201902,162,19,2,47.46,0,36.8,1.2673,1.8167,1.4609,1.2592,1.8009,1.3734,4/19/2021,R10
2019-80,201902,162,19,2,57.93,0,67.8,1.271,1.7996,1.468,1.2686,1.8533,1.3987,4/19/2021,R11
2019-81,201902,162,19,2,46.03,0,33.6,1.2585,1.7177,1.3473,1.2682,1.824,1.3666,4/19/2021,R12
2019-82,201902,162,19,2,44.15,0,27.6,1.2698,1.7119,1.4608,1.2629,1.7286,1.3609,4/19/2021,R13
2019-83,201902,162,19,2,48.28,0,37.1,1.2851,1.9533,1.463,1.2595,1.7628,1.3601,4/19/2021,R14
2019-84,201902,162,19,2,40.82,0,22.9,1.2593,2.1314,1.3923,1.2643,1.6926,1.347,4/19/2021,R15
2019-85,201902,162,19,2,45.46,0,31.1,1.282,1.9656,1.4438,1.2691,1.8044,1.3737,4/20/2021,R123
2019-86,201902,162,19,2,38.37,0,21.92,1.2594,1.7058,1.3543,1.2736,1.6563,1.3499,4/20/2021,R123
2019-87,201902,162,19,2,47.75,0,35.29,1.2672,2.0356,1.4679,1.277,1.8284,1.3861,4/20/2021,R123
2019-88,201902,162,19,2,45.15,0,30.07,1.2604,2.0322,1.4756,1.2515,1.7563,1.3577,4/20/2021,R123
2019-89,201902,162,19,2,41.52,0,23.77,1.2591,1.7418,1.4052,1.2643,1.695,1.3578,4/20/2021,R123
2019-90,201902,162,42,2,44.92,0,29.37,1.2651,1.8822,1.3954,1.2625,1.7219,1.3418,4/20/2021,R123
2019-91,201902,162,42,2,39.11,0,20.67,1.2571,1.8222,1.391,1.2792,1.6835,1.3599,4/20/2021,R123
2019-92,201902,162,42,2,46.98,0,33.68,1.2661,1.8877,1.341,1.2681,1.7694,1.3518,4/20/2021,R123
2019-93,201902,162,42,2,48.55,0,37.57,1.2865,2.2391,1.4449,1.2754,1.7875,1.3626,4/20/2021,R123
2019-94,201902,162,42,2,45.03,0,27.76,1.2723,2.4685,1.3962,1.2757,1.7548,1.354,4/20/2021,R123
2019-95,201902,162,42,2,43.22,0,30.35,1.259,1.9067,1.3363,1.254,1.8243,1.3161,4/20/2021,R123
2019-96,201902,162,42,2,50.09,0,40.6,1.2735,1.9027,1.3758,1.2637,1.7632,1.3471,4/20/2021,
2019-97,201901,162,163,2,54.86,0,NA,1.259,2.152,1.3385,1.2533,1.8664,1.3315,4/26/2021,missing L3
2019-98,201902,162,42,2,41.65,0,25.0451,1.2861,2.2185,1.4959,1.2673,1.6117,1.3336,4/26/2021,
2019-99,201902,162,42,2,48.34,0,37.2111,1.2577,2.0767,1.3788,1.2589,1.7285,1.3328,4/26/2021,R123
AKK-1,202101,162,100,1,96.68,18.45,357,,,,,,,,
AKK-2,202101,162,106,1,89.77,15.22,277,,,,,,,,
AKK-3,202101,162,110,1,102.55,17.95,354,,,,,,,,
AKK-4,202101,162,112,1,92.16,17.05,320,,,,,,,,
AKK-5,202101,162,112,1,95.73,16.75,324,,,,,,,,
AKK-7,202101,162,125,1,88.87,15.44,280,,,,,,,,
AKK-8,202101,162,137,1,76.87,13.44,140,,,,,,,,
AKK-9,202101,162,140,1,77.04,12.91,164,,,,,,,,
AKK-10,202101,162,142,1,77.29,12.8,184,,,,,,,,
AKK-11,202101,162,142,1,81.18,14.07,211,,,,,,,,
AKK-12,202101,162,142,1,85.75,16.97,255,,,,,,,,
AKK-13,202101,162,141,1,78.89,13.77,194,,,,,,,,
AKK-14,202101,162,140,1,84.14,14.66,206,,,,,,,,
AKK-15,202101,162,143,1,76.53,13.8,155,,,,,,,,
AKK-16,202101,162,143,1,83.03,15.52,219,,,,,,,,
AKK-17,202101,162,143,1,79.92,12.58,157,,,,,,,,
AKK-18,202101,162,153,1,94.51,17.76,345,,,,,,,,
AKK-19,202101,162,179,1,72.57,10.3,115,,,,,,,,
AKK-20,202101,162,184,1,90.8,17.6,284,,,,,,,,
AKK-21,202101,162,184,1,97.26,20.1,342,,,,,,,,
AKK-22,202101,162,184,1,100.07,19.62,401,,,,,,,,
AKK-23,202101,162,185,1,92.37,18.93,317,,,,,,,,
AKK-24,202101,162,185,1,86.61,16.12,262,,,,,,,,
AKK-25,202101,162,185,1,88.56,18.78,272,,,,,,,,
AKK-26,202102,162,2,2,57.41,0,58,,,,,,,,
AKK-27,202102,162,2,2,57.59,0,60,,,,,,,,
AKK-28,202102,162,2,2,55.27,0,56,,,,,,,,
AKK-29,202102,162,4,2,53.86,0,47,,,,,,,,
AKK-30,202102,162,4,2,55.57,0,51,,,,,,,,
AKK-31,202102,162,4,2,52.81,0,48,,,,,,,,
AKK-32,202102,162,12,1,58,10.42,63,,,,,,,,
AKK-33,202102,162,12,1,49.62,6.94,30,,,,,,,,
AKK-34,202102,162,12,2,42.14,0,10,,,,,,,,
AKK-35,202102,162,12,2,53.59,0,37,,,,,,,,
AKK-36,202102,162,12,1,55.28,8.89,39,,,,,,,,
AKK-37,202102,162,12,1,52.75,8.33,34,,,,,,,,
AKK-38,202102,162,12,2,49.43,0,26,,,,,,,,
AKK-39,202102,162,12,2,50.28,0,22,,,,,,,,
AKK-40,202102,162,12,2,51.45,0,25,,,,,,,,
AKK-41,202102,162,13,1,63.74,10.75,98,,,,,,,,
AKK-42,202102,162,13,2,56.99,0,47,,,,,,,,
AKK-43,202102,162,13,1,51.12,8.22,54,,,,,,,,
AKK-44,202102,162,13,2,46.88,0,38,,,,,,,,
AKK-45,202102,162,13,1,51.48,8.55,53,,,,,,,,
AKK-46,202102,162,13,2,44.63,0,30,,,,,,,,
AKK-47,202102,162,13,1,51.83,8.9,51,,,,,,,,
AKK-48,202102,162,13,2,44.64,0,32,,,,,,,,bitter
AKK-49,202102,162,14,2,53.16,0,50,,,,,,,,
AKK-50,202102,162,14,1,53.18,8.12,54,,,,,,,,
AKK-51,202102,162,14,2,46.82,0,34,,,,,,,,
AKK-52,202102,162,14,1,51.07,7.22,49,,,,,,,,
AKK-53,202102,162,15,2,51.47,0,40,,,,,,,,
AKK-54,202102,162,14,2,45.67,0,31,,,,,,,,
AKK-55,202102,162,14,1,54.6,8.98,61,,,,,,,,
AKK-56,202102,162,14,2,51.14,0,43,,,,,,,,
AKK-57,202102,162,14,1,54.3,7.24,53,,,,,,,,
AKK-58,202102,162,14,2,50.24,0,41,,,,,,,,
AKK-59,202102,162,14,2,46.48,0,32,,,,,,,,
AKK-60,202102,162,14,2,50.42,0,40,,,,,,,,
AKK-61,202102,162,15,2,47.37,0,35,,,,,,,,
AKK-62,202102,162,15,2,44.46,0,29,,,,,,,,
AKK-63,202102,162,15,1,51.53,8.53,51,,,,,,,,
AKK-64,202102,162,15,1,50.74,7.63,45,,,,,,,,
AKK-65,202102,162,15,2,44.15,0,28,,,,,,,,
AKK-66,202102,162,15,1,52.62,8.32,52,,,,,,,,
AKK-67,202102,162,15,2,46.18,0,33,,,,,,,,
AKK-68,202102,162,15,2,41.08,0,41,,,,,,,,
AKK-69,202102,162,15,2,46.23,0,32,,,,,,,,
AKK-70,202102,162,15,2,45.43,0,33,,,,,,,,
AKK-71,202102,162,18,2,48.39,0,37,,,,,,,,
AKK-72,202102,162,18,1,55.12,9.36,55,,,,,,,,
AKK-73,202102,162,18,2,47.03,0,30,,,,,,,,
AKK-74,202102,162,18,1,52.13,8.83,41,,,,,,,,
AKK-75,202102,162,18,2,47.44,0,36,,,,,,,,
AKK-76,202102,162,18,2,53.99,0,53,,,,,,,,
AKK-77,202102,162,18,2,48.05,0,35,,,,,,,,
AKK-78,202102,162,18,2,48.75,0,39,,,,,,,,
AKK-79,202102,162,18,2,45.06,0,32,,,,,,,,
AKK-80,202102,162,22,2,51.59,0,31,,,,,,,,
AKK-81,202102,162,22,1,53.09,8.19,54,,,,,,,,
AKK-82,202102,162,22,1,50.56,9.29,43,,,,,,,,
AKK-83,202102,162,22,1,50.93,9.04,52,,,,,,,,
AKK-84,202102,162,22,2,46.61,0,33,,,,,,,,
AKK-85,202102,162,22,2,50.49,0,47,,,,,,,,
AKK-86,202102,162,22,2,51.61,0,48,,,,,,,,
AKK-87,202102,162,22,2,46.69,0,32,,,,,,,,
AKK-88,202102,162,22,2,50.18,0,39,,,,,,,,
AKK-89,202102,162,26,2,56.93,0,58,,,,,,,,
AKK-90,202102,162,26,2,55.87,0,59,,,,,,,,
AKK-91,202102,162,26,1,57.44,9.54,66,,,,,,,,
AKK-92,202102,162,26,1,51.94,8.39,49,,,,,,,,
AKK-93,202102,162,26,2,50.36,0,44,,,,,,,,
AKK-94,202102,162,26,2,49.83,0,40,,,,,,,,
AKK-95,202102,162,26,2,46.86,0,35,,,,,,,,
AKK-96,202102,162,26,2,44.55,0,34,,,,,,,,
AKK-97,202102,162,27,2,49.06,0,37,,,,,,,,
AKK-98,202102,162,27,2,54.3,0,47,,,,,,,,
AKK-99,202102,162,27,2,55.07,0,51,,,,,,,,
AKK-100,202102,162,27,2,53.1,0,48,,,,,,,,bitter
AKK-101,202102,162,27,1,53.24,9.65,58,,,,,,,,
AKK-102,202102,162,27,2,46.72,0,32,,,,,,,,
AKK-103,202102,162,27,2,48.77,0,40,,,,,,,,
AKK-104,202102,162,27,2,51.27,0,44,,,,,,,,
AKK-105,202102,162,27,2,43.52,0,29,,,,,,,,
AKK-106,202102,162,28,1,51.34,7.33,50,,,,,,,,
AKK-107,202102,162,28,1,52.68,7.68,44,,,,,,,,
AKK-108,202102,162,28,2,49.91,0,42,,,,,,,,
AKK-109,202102,162,28,2,46.67,0,33,,,,,,,,
AKK-110,202102,162,28,2,47346,0,35,,,,,,,,
AKK-111,202102,162,28,2,52.97,0,45,,,,,,,,bitter
AKK-112,202102,162,28,2,46.29,0,28,,,,,,,,
AKK-113,202102,162,28,2,46.96,0,34,,,,,,,,
AKK-114,202102,162,28,2,48.03,0,37,,,,,,,,
AKK-115,202102,162,29,2,54.73,0,48,,,,,,,,
AKK-116,202102,162,29,2,57.04,0,55,,,,,,,,
AKK-117,202102,162,29,2,53.57,0,44,,,,,,,,
AKK-118,202102,162,29,1,59.35,9.82,70,,,,,,,,
AKK-119,202102,162,29,1,50.79,7.9,49,,,,,,,,
AKK-120,202102,162,29,2,60.6,0,68,,,,,,,,
AKK-121,202102,162,29,2,57.34,0,55,,,,,,,,
AKK-122,202102,162,29,2,53.65,0,49,,,,,,,,
AKK-123,202102,162,29,2,50.47,0,41,,,,,,,,
AKK-124,202102,162,29,2,50.42,0,40,,,,,,,,
AKK-125,202102,162,29,2,49.69,0,37,,,,,,,,
AKK-126,202102,162,29,2,51.79,0,44,,,,,,,,
AKK-127,202102,162,29,2,46.09,0,31,,,,,,,,
AKK-128,202102,162,33,2,51.19,0,49,,,,,,,,
AKK-129,202102,162,33,1,58.62,9.91,73,,,,,,,,
AKK-130,202102,162,33,1,58.55,9.64,76,,,,,,,,
AKK-131,202102,162,33,1,52.75,8.6,60,,,,,,,,
AKK-132,202102,162,33,1,55.79,9.49,67,,,,,,,,
AKK-133,202102,162,33,1,58.73,9.44,74,,,,,,,,
AKK-134,202102,162,33,1,56.56,8.92,69,,,,,,,,
AKK-135,202102,162,33,1,55.95,9.39,68,,,,,,,,
AKK-136,202102,162,33,1,58.66,8.39,74,,,,,,,,
AKK-137,202102,162,33,1,67.03,11.6,116,,,,,,,,
AKK-138,202102,162,33,2,54.26,0,54,,,,,,,,
AKK-139,202102,162,33,2,54.08,0,56,,,,,,,,
AKK-140,202102,162,33,2,51.93,0,44,,,,,,,,
VA-1,202101,94,104,1,73.57,14.42,164,,,,,,,,
VA-2,202101,94,104,1,80.83,16.55,200,,,,,,,,
VA-3,202101,94,105,1,84.45,13.96,212,,,,,,,,
VA-4,202101,94,105,1,87.83,16.69,238,,,,,,,,
VA-5,202101,94,107,1,93.36,18.15,288,,,,,,,,
VA-6,202101,94,104,1,83.35,15.93,196,,,,,,,,
VA-7,202101,94,105,1,91.8,17.38,280,,,,,,,,
VA-8,202101,94,105,1,84.61,16.26,224,,,,,,,,
VA-9,202101,94,128,1,85.79,15.29,226,,,,,,,,
VA-10,202101,94,104,1,78.88,15.53,188,,,,,,,,
VA-11,202101,94,106,1,91.8,18,294,,,,,,,,
VA-12,202101,94,106,1,91.84,17.74,294,,,,,,,,
VA-13,202101,94,103,1,73.35,13.76,146,,,,,,,,
VA-14,202101,94,107,1,92.74,16.5,266,,,,,,,,
VA-15,202101,94,105,1,87.73,17.03,246,,,,,,,,
VA-16,202101,94,106,1,95.31,17.71,304,,,,,,,,
VA-17,202101,94,128,1,88.47,14.77,240,,,,,,,,
VA-18,202101,94,107,1,94.32,18.32,270,,,,,,,,
VA-19,202101,94,128,1,88.85,17.43,258,,,,,,,,
VA-20,202101,94,103,1,72.15,12.9,134,,,,,,,,
VA-21,202101,94,106,1,90.17,17.64,270,,,,,,,,
VA-22,202101,94,128,1,86.6,16.53,240,,,,,,,,
VA-23,202101,94,105,1,88.71,16.85,248,,,,,,,,
VA-24,202101,94,107,1,93.29,17.1,NA,,,,,,,,
VA-25,202101,94,106,1,80.61,15.91,200,,,,,,,,
VA-26,202101,94,107,1,94.23,19.12,318,,,,,,,,
VA-27,202101,94,107,1,91.12,18.11,NA,,,,,,,,
VA-28,202101,94,113,1,86.41,15.7,220,,,,,,,,
VA-29,202101,94,106,1,91.6,17.72,284,,,,,,,,
VA-30,202101,94,104,1,86.27,15.7,206,,,,,,,,
VA-31,202101,94,42,1,89.65,15.65,270,,,,,,,,
VA-32,202101,94,137,1,93.86,16.29,NA,,,,,,,,
VA-33,202101,94,129,1,83.67,17.06,236,,,,,,,,
VA-34,202101,94,129,1,86.17,16.5,214,,,,,,,,
VA-35,202101,94,136,1,84.31,15.32,NA,,,,,,,,
VA-36,202101,94,128,1,85.02,16.03,238,,,,,,,,
VA-37,202101,94,150,1,87.9,15.27,248,,,,,,,,
VA-38,202101,94,134,1,88.7,17.99,266,,,,,,,,
VA-39,202101,94,142,1,89.76,16.4,276,,,,,,,,
VA-40,202101,94,136,1,78.81,14.72,NA,,,,,,,,
VA-41,202101,94,137,1,70.37,13.38,144,,,,,,,,
VA-42,202101,94,134,1,87.42,16.62,232,,,,,,,,
VA-43,202101,94,129,1,81.27,15.67,206,,,,,,,,
VA-44,202101,94,142,1,93.03,17.04,286,,,,,,,,
VA-45,202101,94,142,1,87.4,15.79,262,,,,,,,,
VA-46,202101,94,128,1,86.96,15.03,238,,,,,,,,
VA-47,202101,94,129,1,82.07,16.3,206,,,,,,,,
VA-48,202101,94,142,1,88.1,16.61,264,,,,,,,,
VA-49,202101,94,142,1,92.21,18.07,292,,,,,,,,
VA-50,202101,94,134,1,90.79,16.76,250,,,,,,,,
VA-51,202101,94,134,1,88.37,15.95,228,,,,,,,,
VA-52,202101,94,132,1,82.81,14.45,NA,,,,,,,,
VA-53,202101,94,134,1,90.04,17.33,258,,,,,,,,
VA-54,202101,94,134,1,88.46,16.53,242,,,,,,,,
VA-55,202101,94,132,1,85.5,15.44,NA,,,,,,,,
VA-56,202101,94,129,1,86.1,16.52,242,,,,,,,,
VA-57,202101,94,132,1,81.6,14.66,198,,,,,,,,
VA-58,202101,94,138,1,89.9,16.71,NA,,,,,,,,
VA-59,202101,94,132,1,85.27,14.66,NA,,,,,,,,
VA-60,202101,94,129,1,88.17,17.31,252,,,,,,,,
VA-61,202101,94,165,1,95.84,17.7,NA,,,,,,,,
VA-62,202101,94,174,1,76.9,14.61,184,,,,,,,,
VA-63,202101,94,174,1,94.07,18.2,286,,,,,,,,
VA-64,202101,94,167,2,58.17,0,62,,,,,,,,
VA-65,202101,94,172,1,80.97,15.04,216,,,,,,,,
VA-66,202101,94,174,1,91.41,16.21,262,,,,,,,,
VA-67,202101,94,173,1,87.1,16.7,244,,,,,,,,
VA-68,202101,94,151,1,90.42,17.36,NA,,,,,,,,
VA-69,202101,94,173,1,88.44,16.01,228,,,,,,,,
VA-70,202101,94,151,1,82.59,15.09,218,,,,,,,,
VA-71,202101,94,151,1,92.65,17.76,NA,,,,,,,,
VA-72,202101,94,173,1,88.1,15.11,248,,,,,,,,
VA-73,202101,94,150,1,88.57,16.62,264,,,,,,,,
VA-74,202101,94,176,1,86.91,16.81,NA,,,,,,,,
VA-75,202101,94,174,1,88.57,17.21,NA,,,,,,,,
VA-76,202101,94,151,1,84.43,14.19,NA,,,,,,,,
VA-77,202101,94,175,1,88.19,17.38,272,,,,,,,,
VA-78,202101,94,150,1,82.17,15.3,NA,,,,,,,,
VA-79,202101,94,173,1,85.24,16.81,256,,,,,,,,
VA-80,202101,94,173,1,95.27,17.11,288,,,,,,,,
VA-81,202101,94,151,1,93.23,16.84,NA,,,,,,,,
VA-82,202101,94,153,1,91.89,NA,336,,,,,,,,
VA-83,202101,94,171,1,82.86,14.37,NA,,,,,,,,
VA-84,202101,94,150,1,88.2,16,262,,,,,,,,
VA-85,202101,94,150,1,96.1,19.31,NA,,,,,,,,
VA-86,202101,94,173,1,94.41,17.11,302,,,,,,,,
VA-87,202101,94,171,1,83.53,15.69,228,,,,,,,,
VA-88,202101,94,150,1,90.11,17.72,270,,,,,,,,
VA-89,202101,94,153,1,92.21,NA,284,,,,,,,,
VA-90,202101,94,175,1,93.37,17.21,306,,,,,,,,
VA-91,202101,94,188,1,92.83,16.83,NA,,,,,,,,
VA-92,202101,94,186,1,78.6,15.11,204,,,,,,,,
VA-93,202101,94,176,1,82.22,17.61,264,,,,,,,,
VA-94,202101,94,177,1,89.92,17,282,,,,,,,,
VA-95,202101,94,176,1,81.11,15.3,200,,,,,,,,
VA-96,202101,94,176,1,75.9,13.51,166,,,,,,,,
VA-97,202101,94,177,1,83.86,15.96,NA,,,,,,,,
VA-98,202101,94,189,1,93.11,16.4,280,,,,,,,,
VA-99,202101,94,186,1,91.37,17.9,308,,,,,,,,
VA-100,202101,94,189,1,81.47,14.71,198,,,,,,,,
VA-101,202101,94,191,1,86.61,16.78,208,,,,,,,,
VA-102,202101,94,189,1,92.31,17.6,276,,,,,,,,
VA-103,202101,94,191,1,90.77,18.45,302,,,,,,,,
VA-104,202101,94,190,1,87.91,15.98,NA,,,,,,,,
VA-105,202101,94,187,1,91.25,17.83,NA,,,,,,,,
VA-106,202101,94,188,1,86.66,16.5,NA,,,,,,,,
VA-107,202101,94,187,1,81.06,15.14,216,,,,,,,,
VA-108,202101,94,176,1,85.87,18.34,294,,,,,,,,
VA-109,202101,94,190,1,80.31,13.91,190,,,,,,,,
VA-110,202101,94,189,1,82.01,15.97,202,,,,,,,,
VA-111,202101,94,190,1,94.01,16.45,NA,,,,,,,,
VA-112,202101,94,189,1,93.18,18.11,298,,,,,,,,
VA-113,202101,94,191,1,94.88,17.64,320,,,,,,,,
VA-114,202101,94,177,1,94.06,17.01,NA,,,,,,,,
VA-115,202101,94,189,1,90.57,17.67,278,,,,,,,,
VA-116,202101,94,187,1,70.75,12.94,138,,,,,,,,
VA-117,202101,94,190,1,86.54,16.34,NA,,,,,,,,
VA-118,202101,94,190,1,92.79,15.82,NA,,,,,,,,
VA-119,202101,94,190,1,89.61,17.97,300,,,,,,,,
VA-120,202101,94,176,1,92.31,13,290,,,,,,,,
VA-121,202101,94,192,1,88.64,15.22,256,,,,,,,,
VA-122,202101,94,193,2,51.91,0,52,,,,,,,,
VA-123,202101,94,193,2,56.09,0,58,,,,,,,,
VA-124,202101,94,193,2,53.58,0,48,,,,,,,,
VA-125,202101,94,193,2,52.48,0,48,,,,,,,,
VA-126,202101,94,193,2,49.59,0,44,,,,,,,,
VA-127,202101,94,193,2,51.43,0,48,,,,,,,,
VA-128,202101,94,193,2,49.26,0,44,,,,,,,,
VA-129,202101,94,192,1,88.35,15.62,234,,,,,,,,
VA-130,202101,94,193,2,46.84,0,36,,,,,,,,
VA-131,202101,94,191,1,91.95,17.73,274,,,,,,,,
VA-132,202101,94,191,1,92.47,16.56,248,,,,,,,,
VA-133,202101,94,193,2,51.79,0,44,,,,,,,,
VA-134,202101,94,193,2,55.44,0,62,,,,,,,,
VA-135,202101,94,192,1,92.23,16.69,NA,,,,,,,,
VA-136,202101,94,193,2,46.17,0,36,,,,,,,,
VA-137,202101,94,192,1,90.81,16.75,NA,,,,,,,,
VA-138,202101,94,193,2,55.61,0,56,,,,,,,,
VA-139,202101,94,191,1,90.34,17.14,288,,,,,,,,
VA-140,202101,94,192,1,82.23,12.79,194,,,,,,,,
VA-141,202101,94,194,2,47.3,0,38,,,,,,,,
VA-142,202101,94,195,2,44.36,0,30,,,,,,,,
VA-143,202102,94,1,1,52.4,9.51,NA,,,,,,,,
VA-144,202101,94,195,2,46.55,0,34,,,,,,,,
VA-145,202102,94,1,2,46.21,0,32,,,,,,,,
VA-146,202102,94,1,2,47.69,0,34,,,,,,,,
VA-147,202102,94,1,2,43.21,0,28,,,,,,,,
VA-148,202102,94,1,1,62.4,11.21,90,,,,,,,,
VA-149,202102,94,1,1,55.49,10.01,NA,,,,,,,,
VA-150,202102,94,1,2,43.45,0,28,,,,,,,,
VA-151,202102,94,1,1,56.11,10,NA,,,,,,,,
VA-152,202101,94,193,2,53.19,0,50,,,,,,,,
VA-153,202102,94,1,1,52.21,8.61,54,,,,,,,,
VA-154,202101,94,193,2,52.27,0,44,,,,,,,,
VA-155,202102,94,1,1,51.24,8.71,NA,,,,,,,,
VA-156,202102,94,1,2,52.05,0,NA,,,,,,,,
VA-157,202101,94,193,2,52.52,0,52,,,,,,,,
VA-158,202101,94,193,2,52.93,0,50,,,,,,,,
VA-159,202101,94,194,2,46..89,0,32,,,,,,,,
VA-160,202101,94,194,2,47.07,0,NA,,,,,,,,
VA-161,202102,94,1,2,41.99,0,34,,,,,,,,
VA-162,202102,94,1,2,43.14,0,32,,,,,,,,
VA-163,202102,94,1,2,44.07,0,26,,,,,,,,
VA-164,202102,94,1,2,44.04,0,26,,,,,,,,
VA-165,202102,94,1,2,44.05,0,28,,,,,,,,
VA-166,202102,94,6,2,56.45,0,60,,,,,,,,
VA-167,202102,94,6,1,77.04,16.63,NA,,,,,,,,
VA-168,202102,94,6,2,54.11,0,56,,,,,,,,
VA-169,202102,94,6,1,78.37,14.81,NA,,,,,,,,
VA-170,202102,94,6,1,73.21,12.93,124,,,,,,,,
VA-171,202102,94,6,1,87.59,16.7,242,,,,,,,,
VA-172,202102,94,6,2,60.03,0,70,,,,,,,,
VA-173,202102,94,6,1,78.76,15.21,180,,,,,,,,
VA-174,202102,94,6,1,76.33,14.43,152,,,,,,,,
VA-175,202102,94,6,1,70.87,13.44,NA,,,,,,,,
VA-176,202102,94,5,2,54.31,0,52,,,,,,,,
VA-177,202102,94,5,1,52.44,8.09,50,,,,,,,,
VA-178,202102,94,6,1,75.18,14.37,NA,,,,,,,,
VA-179,202102,94,5,1,55.68,9.21,NA,,,,,,,,
VA-180,202102,94,5,1,51.87,8.85,NA,,,,,,,,
VA-181,202102,94,5,2,55.21,0,52,,,,,,,,
VA-182,202102,94,5,1,52.65,8.9,54,,,,,,,,
VA-183,202102,94,5,2,52.47,0,48,,,,,,,,
VA-184,202102,94,5,2,55.83,0,56,,,,,,,,
VA-185,202102,94,5,2,50.23,0,42,,,,,,,,
VA-186,202102,94,23,2,43.71,0,28,,,,,,,,
VA-187,202102,94,6,2,58.3,0,66,,,,,,,,
VA-188,202102,94,5,1,57.64,9.7,NA,,,,,,,,
VA-189,202102,94,5,2,50.35,0,42,,,,,,,,
VA-190,202102,94,6,1,83.74,16.19,228,,,,,,,,
VA-191,202102,94,27,2,49.56,0,36,,,,,,,,
VA-192,202102,94,25,1,53.69,8.96,NA,,,,,,,,
VA-193,202102,94,25,1,51.75,8.78,NA,,,,,,,,
VA-194,202102,94,27,2,43.01,0,24,,,,,,,,
VA-195,202102,94,27,1,57.54,10.62,72,,,,,,,,
VA-196,202102,94,27,2,42.71,0,NA,,,,,,,,
VA-197,202102,94,27,2,49.08,0,36,,,,,,,,
VA-198,202102,94,24,1,45.89,9.41,38,,,,,,,,
VA-199,202102,94,29,2,42.74,0,24,,,,,,,,
VA-200,202102,94,25,2,54.78,0,50,,,,,,,,
VA-201,202102,94,24,2,42.89,0,NA,,,,,,,,
VA-202,202102,94,27,2,50.43,0,42,,,,,,,,
VA-203,202102,94,25,2,55.97,0,54,,,,,,,,
VA-204,202102,94,27,2,47.69,0,34,,,,,,,,
VA-205,202102,94,25,1,52.26,8.86,52,,,,,,,,
VA-206,202102,94,27,2,42.05,0,26,,,,,,,,
VA-207,202102,94,25,1,55.14,10.81,70,,,,,,,,
VA-208,202102,94,23,2,42.8,0,26,,,,,,,,
VA-209,202102,94,27,2,52.2,0,44,,,,,,,,
VA-210,202102,94,25,2,46.9,0,34,,,,,,,,
VA-211,202102,94,25,2,51.49,0,44,,,,,,,,
VA-212,202102,94,24,2,43.04,0,28,,,,,,,,
VA-213,202102,94,25,2,55.21,0,56,,,,,,,,
VA-214,202102,94,29,2,42.12,0,22,,,,,,,,
VA-215,202102,94,25,2,43.97,0,28,,,,,,,,
VA-216,202102,94,27,2,55.59,0,54,,,,,,,,
VA-217,202102,94,24,2,41.63,0,NA,,,,,,,,
VA-218,202102,94,24,2,43.57,0,30,,,,,,,,
VA-219,202102,94,24,2,43.68,0,26,,,,,,,,
VA-220,202102,94,23,1,51.04,8.41,NA,,,,,,,,
VA-222,202102,94,30,2,43.59,0,30,,,,,,,,
VA-225,202102,94,29,2,45.26,0,30,,,,,,,,
VA-226,202102,94,31,1,53.5,8.72,52,,,,,,,,
VA-228,202102,94,31,1,50.44,8,42,,,,,,,,
VA-231,202102,94,34,1,47.86,7.88,38,,,,,,,,
VA-235,202102,94,31,1,50.34,8.43,50,,,,,,,,
VA-236,202102,94,29,2,45,0,28,,,,,,,,
VA-237,202102,94,29,2,41.78,0,24,,,,,,,,
VA-240,202102,94,34,1,50.33,8.65,NA,,,,,,,,
AKK-1,202202,162,1,1,56.96,10.1,70,,,,,,,,
AKK-2,202202,162,1,1,57.97,9.94,67,,,,,,,,
AKK-3,202202,162,1,1,56.79,10.65,69,,,,,,,,
AKK-4,202202,162,1,1,56.62,10.15,65,,,,,,,,
AKK-5,202202,162,1,2,45.48,0,35,,,,,,,,
