,Year,bsregion,ice_free,ice_full,perc_open_water
240,2013,13,1,11,8.333333333
241,2013,14,1,12,7.692307692
242,2013,15,4,1,80
243,2013,16,2,0,100
244,2013,2,1,27,3.571428571
245,2013,3,15,7,68.18181818
246,2013,4,11,1,91.66666667
247,2013,5,1,2,33.33333333
248,2013,6,0,12,0
249,2013,7,0,10,0
250,2013,8,15,25,37.5
251,2013,9,0,14,0
252,2014,1,9,0,100
253,2014,10,5,14,26.31578947
254,2014,11,6,13,31.57894737
255,2014,12,6,16,27.27272727
256,2014,13,4,7,36.36363636
257,2014,14,7,9,43.75
258,2014,15,2,0,100
259,2014,2,13,11,54.16666667
260,2014,3,27,0,100
261,2014,4,11,0,100
262,2014,5,4,0,100
263,2014,6,15,1,93.75
264,2014,7,4,6,40
265,2014,8,22,10,68.75
266,2014,9,1,11,8.333333333
267,2015,1,5,0,100
268,2015,10,1,20,4.761904762
269,2015,11,4,14,22.22222222
270,2015,12,3,20,13.04347826
271,2015,13,1,7,12.5
272,2015,14,6,9,40
273,2015,15,1,0,100
274,2015,16,3,0,100
275,2015,2,15,8,65.2173913
276,2015,3,24,0,100
277,2015,4,13,0,100
278,2015,5,5,0,100
279,2015,6,13,5,72.22222222
280,2015,7,2,7,22.22222222
281,2015,8,27,10,72.97297297
282,2015,9,2,13,13.33333333
283,2016,1,5,0,100
284,2016,10,0,19,0
285,2016,11,7,11,38.88888889
286,2016,12,6,17,26.08695652
287,2016,13,3,9,25
288,2016,14,14,3,82.35294118
289,2016,15,5,0,100
290,2016,2,20,4,83.33333333
291,2016,3,26,0,100
292,2016,4,15,0,100
293,2016,5,5,0,100
294,2016,6,12,2,85.71428571
295,2016,7,6,4,60
296,2016,8,23,14,62.16216216
297,2016,9,2,14,12.5
298,2017,1,5,3,62.5
299,2017,10,3,20,13.04347826
300,2017,11,5,15,25
301,2017,12,12,10,54.54545455
302,2017,13,1,11,8.333333333
303,2017,14,2,12,14.28571429
304,2017,15,9,0,100
305,2017,16,1,0,100
306,2017,2,2,21,8.695652174
307,2017,3,6,18,25
308,2017,4,11,1,91.66666667
309,2017,5,3,1,75
310,2017,6,6,12,33.33333333
311,2017,7,3,7,30
312,2017,8,23,9,71.875
313,2017,9,2,17,10.52631579
314,2018,1,6,0,100
315,2018,10,22,3,88
316,2018,11,16,3,84.21052632
317,2018,12,22,0,100
318,2018,13,8,3,72.72727273
319,2018,14,3,7,30
320,2018,15,2,0,100
321,2018,16,2,0,100
322,2018,2,20,2,90.90909091
323,2018,3,23,0,100
324,2018,4,10,0,100
325,2018,5,7,0,100
326,2018,6,15,0,100
327,2018,7,12,2,85.71428571
328,2018,8,33,0,100
329,2018,9,15,0,100
330,2019,1,8,0,100
331,2019,10,12,15,44.44444444
332,2019,11,10,10,50
333,2019,12,3,17,15
334,2019,13,0,10,0
335,2019,14,4,13,23.52941176
336,2019,15,6,0,100
337,2019,16,3,0,100
338,2019,2,21,3,87.5
339,2019,3,24,0,100
340,2019,4,12,0,100
341,2019,5,5,0,100
342,2019,6,15,0,100
343,2019,7,7,1,87.5
344,2019,8,36,0,100
345,2019,9,16,0,100
346,2020,1,9,0,100
347,2020,10,0,19,0
348,2020,11,3,10,23.07692308
349,2020,12,0,27,0
350,2020,13,0,9,0
351,2020,14,1,15,6.25
352,2020,15,3,0,100
353,2020,16,1,0,100
354,2020,2,2,22,8.333333333
355,2020,3,22,5,81.48148148
356,2020,4,10,0,100
357,2020,5,2,0,100
358,2020,6,16,0,100
359,2020,7,4,6,40
360,2020,8,30,2,93.75
361,2020,9,14,7,66.66666667
362,2021,1,7,0,100
363,2021,10,0,20,0
364,2021,11,1,16,5.882352941
365,2021,12,0,24,0
366,2021,13,0,8,0
367,2021,14,2,13,13.33333333
368,2021,15,3,0,100
369,2021,16,1,0,100
370,2021,2,8,15,34.7826087
371,2021,3,27,2,93.10344828
372,2021,4,12,0,100
373,2021,6,17,0,100
374,2021,7,4,7,36.36363636
375,2021,8,24,11,68.57142857
376,2021,9,9,11,45
377,2022,1,7,0,100
378,2022,10,2,23,8
379,2022,11,4,16,20
380,2022,12,1,21,4.545454545
381,2022,13,0,10,0
382,2022,14,0,15,0
383,2022,15,6,0,100
384,2022,16,3,0,100
385,2022,2,6,16,27.27272727
386,2022,3,18,7,72
387,2022,4,8,0,100
388,2022,5,3,1,75
389,2022,6,2,12,14.28571429
390,2022,7,3,8,27.27272727
391,2022,8,12,22,35.29411765
392,2022,9,2,14,12.5
393,2023,1,4,0,100
394,2023,10,3,14,17.64705882
395,2023,11,2,15,11.76470588
396,2023,12,6,16,27.27272727
397,2023,13,0,9,0
398,2023,14,0,12,0
399,2023,15,6,0,100
400,2023,16,1,0,100
401,2023,2,3,19,13.63636364
402,2023,3,21,4,84
403,2023,4,14,0,100
404,2023,5,2,0,100
405,2023,6,10,9,52.63157895
406,2023,7,1,13,7.142857143
407,2023,8,24,12,66.66666667
408,2023,9,0,19,0
